No.,Kode,I01_D1.1_A1,I02_D1.1_A1,I03_D1.1_A1,I04_D1.1_A1,I05_D1.1_A1,I06_D1.1_A1,I07_D1.1_A1,I08_D1.1_A1,I09_D1.1_A1,I10_D1.1_A1,I11_D2.1_A2,I12_D2.1_A2,I13_D2.1_A2,I14_D2.1_A2,I15_D2.2_A3,I16_D2.2_A3,I17_D2.2_A3,I18_D2.2_A3,I19_D2.3_A4,I20_D2.3_A4,I21_D3.1_A5,I22_D3.1_A5,I23_D3.1_A5,I24_D3.1_A5,I25_D3.1_A5,I26_D3.1_A5,I27_D3.1_A5,I28_D3.1_A5,I29_D3.2_A6,I30_D3.2_A6,I31_D3.2_A6,I32_D4.1_A7,I33_D4.1_A7,I34_D4.1_A7,I35_D4.1_A7,I36_D4.1_A7,I37_D4.1_A7,I38_D4.1_A7,I39_D4.1_A7,I40_D4.1_A7,I41_D4.1_A7,I42_D4.2_A8,I43_D4.2_A8,I44_D4.2_A8,I45_D4.2_A8,I46_D4.2_A8,I47_D4.2_A8,Domain 1,Domain 2,Domain 3,Domain 4,Indeks
561,7903,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,1,2,1,3,1,1,1,1,1,1,1,1,1.1,1,1.79,1.38
562,7904,3,3,3,1,3,3,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,1,2,1,3,1,5,3,4,2.1,1.4,1,3.12,2.21
563,7905,3,3,3,3,3,3,3,3,3,3,1,1,3,1,1,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,3,3,3,3,2,4,1,2,3,3,3,3,1.7,1,2.99,2.34
564,7906,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1.01
565,7907,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1.2,1,1,3.14,2
566,7908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,1,1,3,1,4,1,1,2,4,1,1,1,1,2.61,1.73
567,7971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1.45,1.2
568,7972,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,3,1,1,1,1,1,3,1,1,1,1,1,1,4,4,4,4,4,4,2,4,3,3,4,4,2,3,3,3,1.2,1.4,1.18,3.43,2.26
569,8000,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,1,1,3,3,4,1,3,1,5,1,1.3,1.1,1,2.86,1.91
570,8001,4,4,5,5,4,5,4,4,4,4,2,1,1,1,2,3,3,2,2,2,3,2,1,3,2,1,2,1,2,1,1,4,4,4,4,2,1,2,2,3,2,4,2,2,5,3,2,4.3,1.9,1.73,2.88,2.63
571,8007,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,4,1,1,3,1,2,1,1,4,1,1,1.4,1.1,1,2.29,1.66
572,8008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,3,4,1,3,1,2,1,1,1.1,1,2.06,1.51
573,8010,3,3,1,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,2,1,1,1,1,1,4,3,1,3,3,1,2.8,1.2,1,2.32,1.88
574,8011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
575,8012,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,2,1,1,1,2,4,2,2,3,2,4,2.8,1.1,1,2.63,2
576,8013,2,2,3,1,3,3,1,1,1,2,2,2,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,4,1,1,1,1,4,1,2,1,1,4,1,1.9,1.6,1,2.17,1.8
577,8014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,3,3,3,3,1,1,1,4,4,1,1,1,1,2.6,1.73
578,8015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
579,8020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,2,1,3,1,1,3,5,1,1,1,1,1,1.94,1.43
580,8029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,2,1,4,1,1,1,1,1,2,4,1,1,1,1,1,2.05,1.48
581,8035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,2,1,3,1,1,1,1,1,1,1,1.1,1,2.09,1.52
582,8036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
583,8072,3,3,4,2,3,3,3,3,3,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,1,3,2,4,3,1,2,2,5,5,4,2.8,1.3,1,3.19,2.3
584,8100,3,3,4,3,3,3,3,3,3,3,1,1,2,1,3,3,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,4,4,4,4,4,4,4,2,3,4,4,3,2,3,5,4,3.1,1.8,1.09,3.62,2.68
585,8101,4,4,4,4,4,4,4,4,4,4,3,3,4,2,5,4,4,4,4,2,3,2,3,2,2,2,1,2,2,2,2,4,4,4,4,3,4,4,3,4,3,4,4,4,3,3,3,4,3.5,2.09,3.62,3.39
586,8102,3,3,2,2,3,3,3,2,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,3,4,1,1,4,3,4,2,2,2,2,1,2.5,1.2,1,2.67,2.01
587,8103,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,2,3,3,4,1,3,2,3,2,2,2,2,2,3,3,3,4,4,4,4,3,3,3,3,3,3,4,3,3,3,4,3,4,2.9,2.45,3.37,3.19
588,8104,3,3,3,2,3,3,3,3,3,3,1,1,3,3,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,3,3,3,4,3,4,3,3,3,2.9,1.8,1,3.37,2.53
589,8105,1,1,4,1,1,1,1,1,1,3,3,3,2,2,2,3,3,2,2,3,2,2,4,1,2,1,1,2,1,1,1,4,4,4,4,4,3,2,1,4,4,4,3,3,2,3,1,1.5,2.5,1.64,3.11,2.51
590,8171,5,5,5,3,3,3,3,3,3,3,3,5,3,2,5,5,3,4,4,2,2,3,3,3,3,3,3,3,2,2,2,4,4,4,5,5,5,3,3,5,4,3,4,5,5,5,5,3.6,3.6,2.64,4.32,3.77
591,8172,3,2,3,2,3,3,2,2,3,3,1,2,1,2,1,2,3,2,2,3,1,1,2,1,1,1,1,2,1,1,1,4,4,4,4,3,4,3,3,3,5,4,3,5,5,4,5,2.6,1.9,1.18,3.95,2.81
592,8200,2,2,2,1,3,2,1,1,1,3,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,3,4,2,3,2,4,4,3,2,4,3,3,1.8,1.4,1,3.37,2.28
593,8201,3,3,3,3,3,3,3,3,3,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,4,1,1,3,3,4,1,4,4,3,4,3,1.2,1,3.07,2.25
594,8204,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,2,2,1,1,1,3,1,2,2,1,3,2,2.8,1.1,1,1.93,1.68
595,8205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,4,1,2,1,1,1,1,1.3,1,1.99,1.53
596,8206,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,3,4,3,2,3,1,4,1,3,3,3,3,1.1,1.3,1,2.87,1.94
597,8207,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,4,1,4,1,1,1,1.2,1,1,2.12,1.54
598,8208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,4,4,1,1,4,3,4,3,1,1.2,1,3.29,2.09
599,8210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.91,1.41
600,8211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.36,1.17
601,8212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.36,1.17
602,8213,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,1,1,1,1,1,4,1,4,1,1,1,1.5,1,1,2.06,1.55
603,8271,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,1,2,1,4,1,4,1,2,2,3,2,1.2,1.2,1,2.55,1.78
604,8300,3,3,4,2,3,3,3,2,3,3,3,2,3,2,3,3,3,2,1,4,1,2,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,4,3,3,3,4,3,4,5,4,3,2.9,2.6,1.09,3.69,2.89
605,8301,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,2,1,3,3,3,1,4,3,3,2,2,1,1.1,1.1,1,2.56,1.75
606,8302,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,3,3,3,3,2,2,3,4,4,1.2,1.4,1,3.24,2.15
607,8303,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2.1,1,1,1.2,1.23
608,8304,5,5,5,5,5,5,5,5,5,5,4,4,1,2,4,4,3,3,2,3,3,5,4,5,3,5,5,5,2,2,3,4,4,4,4,4,4,4,3,3,4,4,4,4,5,5,4,5,3,3.82,4.01,3.86
609,8305,5,5,4,5,5,5,5,5,5,5,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,4,4,3,4,4,3,2,2,2,4,4,2,4,3,2,2,4.9,1.4,1.09,3.05,2.56
610,8306,3,3,3,3,3,3,3,2,3,3,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,4,4,4,4,3,4,4,1,1,2,4,1,3,4,2,2,2.9,1.1,1.27,2.93,2.19
611,8400,3,3,3,3,3,3,3,3,3,3,2,2,1,2,3,3,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,4,4,4,3,4,3,4,3,2.4,1,3.69,2.83
612,8401,4,5,5,5,5,3,2,3,2,4,3,3,3,1,1,3,3,3,4,3,4,3,3,2,2,1,1,3,1,1,1,4,4,5,5,5,4,3,3,4,5,4,4,4,4,3,4,3.8,2.7,2,4.05,3.34
613,8402,2,2,2,2,1,2,2,2,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,3,4,3,3,4,4,4,2.1,1.1,1,3.57,2.34
614,8403,1,2,2,2,2,2,2,2,1,3,1,2,1,1,3,2,3,2,3,3,1,1,2,1,2,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,4,4,3,4,3,3,4,1.9,2.1,1.18,3.62,2.61
615,8404,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,4,4,2,3,4,4,3,1.2,1.7,1,3.49,2.34
616,8471,2,2,3,2,2,3,2,2,3,2,3,2,2,1,1,3,3,2,4,2,1,2,2,2,2,2,2,2,1,1,1,3,3,4,4,4,4,3,4,3,3,5,3,4,5,5,5,2.3,2.3,1.64,3.9,2.92
617,8500,3,3,3,3,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,1,1,4,5,1,3,2.6,1,1,2.68,1.97
618,8600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.54,1.25
619,8700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
620,8800,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,1,1,1,1,3,1,1,1,5,5,2,1,1.2,1,2.56,1.76
