No.;Kode;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;I36;I37;I38;I39;I40;I41;I42;I43;I44;I45;I46;I47;Aspek 1;Aspek 2;Aspek 3;Aspek 4;Aspek 5;Aspek 6;Aspek 7;Aspek 8
284;6272;3;3;4;1;3;3;2;3;3;4;3;3;1;1;1;2;1;1;2;1;2;1;1;1;2;1;1;1;1;1;1;4;4;4;4;3;4;3;2;4;1;4;1;2;2;2;3;2,9;2;1,25;1,5;1,25;1;3,3;2,33
285;6273;1;1;4;1;3;3;3;2;1;3;2;2;1;1;1;2;2;2;2;3;1;2;1;1;1;1;1;1;1;1;1;4;4;4;4;3;4;3;3;3;3;4;3;4;4;5;4;2,2;1,5;1,75;2,5;1,13;1;3,5;4
286;6274;1;1;3;3;2;2;2;4;3;4;1;1;4;3;5;4;4;3;4;4;1;2;1;2;2;1;1;2;1;1;1;4;4;4;4;5;3;3;2;3;3;4;4;5;5;5;5;2,5;2,25;4;4;1,5;1;3,5;4,67
287;6300;5;5;5;5;5;4;5;5;4;5;4;5;4;4;5;4;4;4;4;4;3;3;4;4;2;5;3;3;3;3;4;4;4;4;4;5;4;4;4;5;4;4;4;5;5;5;5;4,8;4,25;4,25;4;3,38;3,33;4,2;4,67
288;6301;4;5;5;5;5;5;5;5;5;5;4;3;3;3;3;3;3;3;3;5;3;3;2;3;2;3;3;2;3;3;3;4;4;3;4;3;3;3;3;3;4;4;5;5;5;5;5;4,9;3,25;3;4;2,63;3;3,4;4,83
289;6302;5;5;5;4;5;4;4;5;4;5;3;3;5;4;2;5;4;5;5;5;3;3;3;4;5;2;3;3;3;3;3;4;3;4;5;5;5;5;5;5;4;5;5;5;5;5;5;4,6;3,75;4;5;3,25;3;4,5;5
290;6303;3;3;4;4;3;3;3;2;3;3;2;2;1;2;1;2;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;2;3;3;5;3;4;5;5;5;3,1;1,75;2;2;1;1;3,6;4,5
291;6304;5;5;5;3;3;5;5;3;3;5;3;3;5;2;5;5;5;5;5;5;4;5;5;3;3;3;3;4;3;3;3;4;4;4;4;5;5;5;3;3;4;4;4;4;5;5;3;4,2;3,25;5;5;3,75;3;4,1;4,17
292;6371;2;2;3;3;2;2;2;2;2;3;2;2;2;2;4;1;3;3;3;3;3;3;2;3;2;3;3;3;1;3;3;4;4;4;4;5;4;5;5;5;5;5;4;4;4;5;5;2,3;2;2,75;3;2,75;2,33;4,5;4,5
293;6400;5;5;5;5;3;5;5;5;5;5;4;4;4;1;5;5;5;4;4;3;4;5;4;3;3;3;3;3;3;3;3;5;5;5;4;4;4;5;5;4;5;5;3;5;5;5;5;4,8;3,25;4,75;3,5;3,5;3;4,6;4,67
294;6401;3;5;5;5;5;5;5;5;5;5;3;3;1;2;3;3;4;2;3;3;2;2;3;3;2;2;1;2;1;1;2;4;4;4;4;5;4;3;3;3;3;4;4;2;5;3;3;4,8;2,25;3;3;2,13;1,33;3,7;3,5
295;6402;3;3;3;2;3;3;3;2;3;3;2;2;2;3;1;3;3;2;2;2;3;2;2;2;2;3;2;2;2;2;2;4;4;4;4;4;4;3;4;3;3;4;4;3;3;4;4;2,8;2,25;2,25;2;2,25;2;3,7;3,67
296;6403;3;5;5;3;3;5;3;3;3;3;3;3;5;5;1;3;3;3;3;3;4;3;2;3;3;2;2;3;3;3;3;4;4;4;4;5;4;3;4;3;4;4;4;4;5;5;5;3,6;4;2,5;3;2,75;3;3,9;4,5
297;6404;2;2;4;3;4;4;2;2;1;3;2;2;4;4;4;4;3;3;4;4;1;3;1;1;2;1;1;1;2;2;2;4;4;4;4;4;4;4;3;4;4;4;5;4;5;5;5;2,7;3;3,5;4;1,38;2;3,9;4,67
298;6405;3;2;3;2;1;3;3;3;3;3;1;3;4;2;2;2;3;2;2;2;1;3;2;2;2;2;2;1;1;1;1;4;4;3;4;4;4;4;4;3;3;4;3;4;4;4;3;2,6;2,5;2,25;2;1,88;1;3,7;3,67
299;6406;3;3;5;2;2;3;2;3;5;2;3;3;3;2;4;4;3;2;3;2;2;2;2;2;2;1;1;1;2;2;2;5;5;5;5;5;5;4;5;3;5;4;4;5;5;5;5;3;2,75;3,25;2,5;1,63;2;4,7;4,67
300;6407;4;5;3;3;3;3;3;3;3;3;2;3;2;3;3;3;3;2;2;2;2;3;1;2;2;1;1;1;2;2;2;4;4;4;4;4;4;4;3;3;4;4;4;4;4;3;4;3,3;2,5;2,75;2;1,63;2;3,8;3,83
301;6408;2;2;3;2;3;3;3;3;3;3;1;1;1;4;1;2;1;2;3;3;3;1;3;1;1;1;2;1;1;1;1;5;4;3;4;4;4;4;2;3;4;4;4;4;5;4;4;2,7;1,75;1,5;3;1,63;1;3,7;4,17
302;6409;5;3;5;5;5;5;5;5;3;5;5;2;5;5;3;5;5;3;4;3;2;2;2;2;2;2;2;2;1;2;2;4;4;3;5;4;4;3;3;5;3;3;3;5;5;5;5;4,6;4,25;4;3,5;2;1,67;3,8;4,33
303;6410;4;5;4;5;5;5;5;4;4;5;5;5;4;4;5;5;5;5;3;3;3;3;3;3;3;3;3;3;2;2;2;5;4;4;4;5;5;5;3;5;5;5;5;5;4;4;5;4,6;4,5;5;3;3;2;4,5;4,67
304;6411;1;1;3;1;3;3;1;2;2;3;3;2;2;1;1;2;3;2;2;1;2;3;3;2;2;2;2;2;1;1;1;4;4;5;5;5;3;3;3;3;3;3;5;5;5;5;5;2;2;2;1,5;2,25;1;3,8;4,67
305;6412;3;3;4;4;4;4;4;5;4;4;3;3;3;3;4;4;3;3;4;4;3;3;4;3;3;4;2;2;2;2;2;4;4;4;4;4;4;3;3;4;4;5;4;4;5;4;4;3,9;3;3,5;4;3;2;3,8;4,33
306;6413;5;5;5;3;5;5;4;5;5;3;4;3;3;3;1;5;3;4;2;3;2;2;2;3;3;1;1;3;3;3;3;4;4;4;4;4;4;3;3;3;5;4;5;4;5;5;5;4,5;3,25;3,25;2,5;2,13;3;3,8;4,67
307;6414;4;3;3;4;3;4;3;4;4;4;3;3;2;3;1;3;2;2;3;1;2;2;3;3;2;1;1;1;1;1;2;4;4;4;4;4;4;4;4;4;5;4;3;5;5;5;5;3,6;2,75;2;2;1,88;1,33;4,1;4,5
308;6415;5;3;5;3;5;5;3;3;5;5;3;3;2;5;3;3;3;2;2;3;4;1;3;1;2;1;1;2;1;1;3;4;4;4;4;4;4;4;4;4;3;4;4;2;5;5;5;4,2;3,25;2,75;2,5;1,88;1,67;3,9;4,17
309;6416;4;4;2;4;5;4;4;4;4;5;3;3;2;3;4;4;3;3;3;3;2;1;2;2;2;2;2;2;2;2;2;4;4;3;5;4;4;3;3;4;5;4;3;4;5;5;5;4;2,75;3,5;3;1,88;2;3,9;4,33
310;6417;5;4;3;5;5;5;3;2;4;4;4;5;4;2;5;3;3;2;5;5;3;4;5;3;2;2;3;4;1;5;2;4;4;4;4;3;4;3;4;4;5;3;4;4;5;5;5;4;3,75;3,25;5;3,25;2,67;3,9;4,33
311;6418;3;3;5;5;5;5;4;4;5;5;4;3;2;3;1;2;2;2;5;3;1;3;1;1;1;1;1;1;1;1;1;5;5;5;4;4;5;3;1;3;4;5;4;4;5;4;4;4,4;3;1,75;4;1,25;1;3,9;4,33
