R90,R250,R1000,R2000,R3000,R4000
-13.689,-4.505,-1.035,-0.516,-0.298,-0.195
-13.608,-4.507,-1.022,-0.511,-0.303,-0.205
-13.534,-4.466,-1.015,-0.467,-0.308,-0.208
-13.463,-4.475,-1.02,-0.487,-0.302,-0.172
-13.417,-4.451,-1.011,-0.489,-0.3,-0.206
-13.334,-4.418,-1.012,-0.484,-0.31,-0.178
-13.321,-4.391,-1.004,-0.489,-0.276,-0.177
-13.281,-4.363,-0.989,-0.485,-0.277,-0.201
-13.182,-4.363,-0.984,-0.468,-0.254,-0.189
-13.126,-4.313,-0.99,-0.481,-0.261,-0.17
-13.015,-4.312,-0.97,-0.466,-0.261,-0.185
-12.954,-4.257,-0.965,-0.456,-0.218,-0.166
-12.91,-4.235,-0.962,-0.466,-0.269,-0.194
-12.841,-4.226,-0.952,-0.469,-0.247,-0.184
-12.765,-4.219,-0.946,-0.474,-0.26,-0.166
-12.693,-4.184,-0.924,-0.463,-0.265,-0.18
-12.648,-4.139,-0.933,-0.441,-0.253,-0.168
-12.509,-4.12,-0.92,-0.455,-0.255,-0.188
-12.511,-4.072,-0.906,-0.462,-0.218,-0.163
-12.371,-4.065,-0.898,-0.455,-0.245,-0.159
-12.314,-4.045,-0.901,-0.447,-0.255,-0.165
-12.256,-4.015,-0.892,-0.435,-0.226,-0.144
-12.142,-3.993,-0.885,-0.428,-0.244,-0.158
-12.05,-3.964,-0.868,-0.431,-0.235,-0.145
-11.976,-3.906,-0.858,-0.406,-0.225,-0.128
-11.876,-3.891,-0.848,-0.42,-0.215,-0.153
-11.801,-3.876,-0.848,-0.41,-0.17,-0.136
-11.747,-3.823,-0.845,-0.419,-0.203,-0.141
-11.613,-3.795,-0.819,-0.409,-0.209,-0.148
-11.545,-3.764,-0.808,-0.403,-0.228,-0.105
-11.452,-3.741,-0.819,-0.382,-0.195,-0.132
-11.336,-3.726,-0.791,-0.396,-0.186,-0.121
-11.28,-3.655,-0.772,-0.37,-0.196,-0.123
-11.141,-3.637,-0.768,-0.38,-0.182,-0.117
-11.073,-3.623,-0.766,-0.388,-0.157,-0.116
-10.957,-3.569,-0.766,-0.381,-0.183,-0.107
-10.843,-3.55,-0.758,-0.37,-0.152,-0.11
-10.747,-3.496,-0.733,-0.363,-0.153,-0.13
-10.659,-3.458,-0.739,-0.358,-0.168,-0.125
-10.52,-3.405,-0.727,-0.348,-0.163,-0.093
-10.484,-3.4,-0.7,-0.345,-0.153,-0.095
-10.335,-3.349,-0.708,-0.35,-0.147,-0.091
-10.198,-3.335,-0.681,-0.366,-0.146,-0.104
-10.138,-3.266,-0.654,-0.337,-0.149,-0.094
-10.026,-3.217,-0.649,-0.311,-0.151,-0.09
-9.918,-3.209,-0.653,-0.311,-0.152,-0.095
-9.825,-3.16,-0.643,-0.328,-0.146,-0.088
-9.648,-3.103,-0.634,-0.32,-0.13,-0.1
-9.527,-3.093,-0.59,-0.31,-0.118,-0.079
-9.446,-3.041,-0.609,-0.307,-0.135,-0.067
-9.339,-2.972,-0.583,-0.294,-0.132,-0.082
-9.209,-2.951,-0.557,-0.288,-0.12,-0.071
