R90,R250,R1000,R2000,R3000,R4000
-14.66,-4.822,-1.152,-0.554,-0.365,-0.229
-14.715,-4.828,-1.153,-0.545,-0.346,-0.278
-14.682,-4.856,-1.153,-0.543,-0.357,-0.259
-14.748,-4.834,-1.165,-0.549,-0.366,-0.256
-14.763,-4.855,-1.17,-0.556,-0.338,-0.256
-14.793,-4.852,-1.177,-0.564,-0.359,-0.269
-14.773,-4.861,-1.162,-0.551,-0.341,-0.264
-14.836,-4.857,-1.185,-0.555,-0.349,-0.276
-14.849,-4.898,-1.163,-0.548,-0.339,-0.263
-14.833,-4.895,-1.153,-0.56,-0.34,-0.25
-14.882,-4.918,-1.177,-0.558,-0.354,-0.249
-14.863,-4.888,-1.172,-0.555,-0.345,-0.265
-14.901,-4.922,-1.158,-0.549,-0.362,-0.281
-14.917,-4.922,-1.174,-0.565,-0.363,-0.267
-14.905,-4.918,-1.165,-0.556,-0.363,-0.266
-14.926,-4.903,-1.168,-0.567,-0.355,-0.271
-14.956,-4.917,-1.165,-0.563,-0.349,-0.251
-14.854,-4.93,-1.198,-0.556,-0.351,-0.26
-14.943,-4.935,-1.158,-0.565,-0.354,-0.26
-14.944,-4.953,-1.157,-0.554,-0.363,-0.264
-14.927,-4.942,-1.188,-0.57,-0.363,-0.254
-14.949,-4.94,-1.174,-0.56,-0.353,-0.239
-14.941,-4.94,-1.181,-0.566,-0.36,-0.257
-14.94,-4.943,-1.175,-0.564,-0.366,-0.261
-14.944,-4.931,-1.199,-0.581,-0.344,-0.252
-14.94,-4.935,-1.182,-0.56,-0.356,-0.239
-14.916,-4.942,-1.182,-0.551,-0.343,-0.263
-14.945,-4.93,-1.171,-0.562,-0.356,-0.258
-14.883,-4.927,-1.192,-0.567,-0.34,-0.268
-14.919,-4.943,-1.176,-0.572,-0.334,-0.229
-14.884,-4.928,-1.189,-0.552,-0.325,-0.248
-14.889,-4.921,-1.186,-0.57,-0.341,-0.231
-14.874,-4.937,-1.186,-0.54,-0.34,-0.245
-14.846,-4.915,-1.183,-0.557,-0.338,-0.22
-14.859,-4.879,-1.19,-0.561,-0.355,-0.254
